id,readings_string,device_id,timestamp,created_at,updated_at
8acbf064-7dee-4e4b-854d-314620957d8b,"ph:14.00000,ec:9.76400,tds:5.26800,pss:0.00000,c:23.11250",30003a001247343330343136,2016-02-17 20:48:29.128000,2016-02-17 20:48:29.173268,2016-02-17 20:48:29.173268
363eb110-cbed-4db0-ba58-610cefef817c,"ph:8.08270,ec:55345.99609,tds:29886.83594,pss:36.69600,c:25.13750",30003a001247343330343136,2016-02-18 03:47:29.718000,2016-02-18 03:47:29.745948,2016-02-18 03:47:29.745948
4d89f4eb-c29d-42da-8ce7-6a7f518859b7,"ph:7.95320,ec:55353.71094,tds:29891.00391,pss:36.70100,c:25.10000",30003a001247343330343136,2016-02-18 07:29:43.258000,2016-02-18 07:29:43.293699,2016-02-18 07:29:43.293699
268da6f8-34bb-4498-9baf-79d6250b7c3b,"ph:7.92460,ec:55237.87891,tds:29828.45313,pss:36.61300,c:25.00000",30003a001247343330343136,2016-02-18 08:34:56.506000,2016-02-18 08:34:56.553440,2016-02-18 08:34:56.553440
656dadc8-a175-42e5-ad85-b6ac9f62a07c,"ph:8.06680,ec:55366.10156,tds:29897.69336,pss:36.71400,c:25.18750",30003a001247343330343136,2016-02-18 04:39:01.644000,2016-02-18 04:39:01.747155,2016-02-18 04:39:01.747155
3337ba39-08d1-4748-9aa0-540816722913,"ph:8.08110,ec:55416.43359,tds:29924.87109,pss:36.75000,c:25.15000",30003a001247343330343136,2016-02-18 03:42:22.740000,2016-02-18 03:42:22.948191,2016-02-18 03:42:22.948191
89a09ace-653f-4e09-b65c-d0a066b90bf7,"ph:8.07540,ec:55385.53125,tds:29908.18750,pss:36.72700,c:25.18750",30003a001247343330343136,2016-02-18 04:13:56.548000,2016-02-18 04:13:56.584672,2016-02-18 04:13:56.584672
68640c8b-502d-40e6-9e79-88b84acadc85,"ph:8.07220,ec:55445.34766,tds:29940.48438,pss:36.77000,c:25.18750",30003a001247343330343136,2016-02-18 04:23:58.656000,2016-02-18 04:23:58.696205,2016-02-18 04:23:58.696205
c8b2a55e-220b-49a7-8aee-27144d59854f,"ph:7.94740,ec:55435.99609,tds:29935.43750,pss:36.76200,c:25.06875",30003a001247343330343136,2016-02-18 07:39:45.343000,2016-02-18 07:39:45.420583,2016-02-18 07:39:45.420583
529a0b33-545a-49d2-a18b-014bdaa922ad,"ph:7.90060,ec:55262.59375,tds:29841.80078,pss:36.63000,c:24.87500",30003a001247343330343136,2016-02-18 10:00:46.493000,2016-02-18 10:00:46.532665,2016-02-18 10:00:46.532665
52d94ba3-eaeb-4af4-b782-e5d1e9fdc17e,"ph:7.88210,ec:55313.48438,tds:29869.28125,pss:36.66600,c:24.75625",30003a001247343330343136,2016-02-18 11:09:48.189000,2016-02-18 11:09:48.251749,2016-02-18 11:09:48.251749
6fddcfec-01d9-495d-8bdc-f0f9e55724cc,"ph:8.03850,ec:55511.64063,tds:29976.28711,pss:36.82000,c:25.19375",30003a001247343330343136,2016-02-18 05:29:18.856000,2016-02-18 05:29:18.905123,2016-02-18 05:29:18.905123
1e82efd9-fd0f-4c03-adf3-92601f6b39a0,"ph:8.07820,ec:55177.09375,tds:29795.62695,pss:36.57000,c:25.12500",30003a001247343330343136,2016-02-18 03:37:21.552000,2016-02-18 03:37:21.581022,2016-02-18 03:37:21.581022
46682703-8a8b-49d9-bc70-c4009dbda58a,"ph:7.92820,ec:55237.16406,tds:29828.06836,pss:36.61500,c:25.00000",30003a001247343330343136,2016-02-18 08:29:55.435000,2016-02-18 08:29:55.479718,2016-02-18 08:29:55.479718
3e399d99-0d98-416b-be77-4af891840a80,"ph:7.90850,ec:55314.12500,tds:29869.98633,pss:36.67000,c:24.93750",30003a001247343330343136,2016-02-18 09:25:39.365000,2016-02-18 09:25:39.407258,2016-02-18 09:25:39.407258
56af4d39-6cee-4a0a-a82c-7e1f1ed73b07,"ph:7.96030,ec:55246.42578,tds:29833.06836,pss:36.62100,c:25.12500",30003a001247343330343136,2016-02-18 07:14:40.193000,2016-02-18 07:14:40.227364,2016-02-18 07:14:40.227364
b9faca17-0f63-48dd-b3d7-ba2e84915a8b,"ph:7.89650,ec:55269.19922,tds:29845.36523,pss:36.63500,c:24.87500",30003a001247343330343136,2016-02-18 10:10:48.506000,2016-02-18 10:10:48.548984,2016-02-18 10:10:48.548984
